rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
476,Santi Cazorla,Spain,MF,Villarreal,La Liga,34,1984,35,2450,11,9,20,3,8,8.7,2.4,55,232,0.40,0.33,48,25,35.1,1,22,19,16,2,0,0,0,0,0,0,0,1407,1727,81.5,7891,89.2,87.1,66.8,71,178,45,24,70,71.4,28.6,55,57,9,31,11,41,39.0,0.59,0.07,0.19,35.5,5.43,0.73,0,2019-2020
477,Dani Ceballos,Spain,MF,Arsenal,Premier League,22,1996,24,1692,0,2,2,0,0,0.6,0.6,60,174,0.00,0.11,45,23,29.5,3,11,32,16,1,0,0,0,0,0,0,0,1114,1329,83.8,5446,92.2,90.2,59.9,28,120,29,50,36,75.0,25.0,60,52,8,30,0,13,23.1,0.16,0.00,0.00,27.3,2.98,0.37,0,2019-2020
478,Federico Ceccherini,Italy,DF,Fiorentina,Serie A,27,1992,15,835,0,0,0,0,0,0.2,0.2,8,17,0.00,0.00,14,8,100.0,5,4,13,37,1,0,0,0,0,0,0,0,353,417,84.7,3077,86.4,88.6,68.0,1,20,2,61,7,85.7,14.3,8,1,1,2,0,4,0.0,0.00,0.00,0,64.1,0.54,0.00,0,2019-2020
480,Zeki Çelik,Turkey,DF,Lille,Ligue 1,22,1997,23,2070,0,2,2,0,0,0.2,0.2,54,105,0.00,0.09,53,28,45.0,4,20,26,39,0,0,0,0,0,0,0,0,1074,1375,78.1,6540,87.9,82.1,58.3,15,86,23,46,34,44.1,55.9,54,47,8,19,0,4,25.0,0.04,0.00,0.00,44.4,1.61,0.22,0,2019-2020
481,Fabien Centonze,France,DF,Metz,Ligue 1,23,1996,28,2520,0,3,3,0,0,0.5,0.5,97,80,0.00,0.11,76,49,59.6,11,19,59,98,0,0,0,0,0,0,0,0,972,1326,73.3,6437,86.9,73.4,38.7,22,52,24,108,53,58.5,41.5,97,62,14,24,0,9,33.3,0.11,0.00,0.00,58.2,1.64,0.18,0,2019-2020
482,Luca Ceppitelli,Italy,DF,Cagliari,Serie A,29,1989,16,1246,2,0,2,2,0,0.4,0.4,3,24,0.14,0.00,22,15,54.5,17,6,23,66,2,0,0,0,0,0,0,0,403,527,76.5,3733,83.0,85.3,56.3,2,24,3,139,1,0.0,100.0,3,8,2,2,2,5,40.0,0.14,0.40,1.00,54.4,0.58,0.00,0,2019-2020
483,Alberto Cerri,Italy,FW,SPAL,Serie A,23,1996,8,420,1,0,1,1,0,1.5,1.5,13,17,0.21,0.00,2,1,33.3,0,1,0,3,0,0,0,0,0,0,0,0,84,138,60.9,260,69.3,61.0,55.6,8,8,4,3,10,80.0,20.0,13,6,4,7,1,11,45.5,1.07,0.09,0.20,60.5,2.79,0.00,0,2019-2020
484,Alberto Cerri,Italy,FW,Cagliari,Serie A,23,1996,11,244,1,0,1,1,0,0.4,0.4,1,8,0.37,0.00,3,1,33.3,0,1,2,4,0,0,0,0,0,0,0,0,63,98,64.3,110,67.3,70.0,62.5,3,4,2,4,3,100.0,0.0,1,0,1,4,1,7,42.9,1.11,0.14,0.33,60.5,1.84,0.37,0,2019-2020
485,Julian Chabot,Germany,DF,Sampdoria,Serie A,21,1998,8,569,1,0,1,1,0,0.1,0.1,1,16,0.16,0.00,11,7,54.5,2,1,15,26,0,0,0,0,0,0,0,0,216,259,83.4,1612,84.1,91.5,61.0,0,10,0,55,2,50.0,50.0,1,1,0,0,1,1,100.0,0.16,1.00,1.00,61.5,0.32,0.00,0,2019-2020
486,Florian Chabrolle,France,MF,Marseille,Ligue 1,21,1998,1,18,0,0,0,0,0,0.0,0.0,3,2,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,81.3,51,90.9,100.0,100.0,0,1,1,0,0,0,0,3,1,0,1,0,0,0,0.00,0,0,0,0.00,0.00,0,2019-2020
487,Fouad Chafik,Morocco,DF,Dijon,Ligue 1,32,1986,20,1528,0,2,2,0,0,0.2,0.2,44,85,0.00,0.12,32,21,47.2,5,7,26,36,0,0,0,0,0,0,0,0,712,941,75.7,5524,88.4,77.7,51.5,22,80,28,47,25,52.0,48.0,44,28,1,7,0,7,14.3,0.06,0.00,0.00,50.0,3.00,0.35,0,2019-2020
488,Sofian Chakla,Morocco,DF,Villarreal,La Liga,25,1993,2,180,0,0,0,0,0,0.1,0.1,0,3,0.00,0.00,0,0,0.0,1,1,3,7,1,0,0,0,0,0,0,0,75,91,82.4,578,85.7,88.5,61.1,0,0,0,16,0,0,0,0,0,0,0,0,1,0.0,0.00,0.00,0,66.7,0.50,0.50,0,2019-2020
