player_name,club_name,tackles_won,interceptions
"Martín Cáceres","Levante",2,11
"Cala","Cádiz",5,11
"Calderón","Real Betis",0,0
"Fernando Calero","Espanyol",9,14
"Víctor Camarasa","Real Betis",1,2
"Eduardo Camavinga","Real Madrid",35,17
"José Campaña","Levante",16,22
"Sergio Canales","Real Betis",13,10
"Álex Cantero","Levante",4,1
"Ander Capa","Athletic Club",0,0
"Étienne Capoue","Villarreal",25,33
"Isaac Carcelen","Cádiz",31,32
"Dani Cárdenas","Levante",0,1
"Carlo","Villarreal",0,0
"Diego Carlos","Sevilla",24,21
"Carmona","Sevilla",0,1
"Yannick Carrasco","Atlético Madrid",20,18
"Guido Carrillo","Elche",4,1
"Dani Carvajal","Real Madrid",27,20
"William Carvalho","Real Betis",32,15
"Casemiro","Real Madrid",50,41
"Kiko Casilla","Elche",0,1
"Catena","Rayo Vallecano",24,30
"Dani Ceballos","Real Madrid",5,5
"Franco Cervi","Celta Vigo",43,20
"Chapela","Cádiz",2,4
"Chema","Getafe",0,0
"Denis Cheryshev","Valencia",5,8
"Samuel Chukwueze","Villarreal",10,5
"Víctor Chust","Cádiz",11,16
"Jasper Cillessen","Valencia",0,0
"Pathé Ciss","Rayo Vallecano",16,30
"Carlos Clerc","Levante",18,23
"Coke","Levante",2,2
"Álex Collado","Granada",13,5
"Eray Cömert","Valencia",3,2
"Santi Comesaña","Rayo Vallecano",59,31
"Diego Conde","Getafe",0,0
"Francis Coquelin","Villarreal",16,21
"Jesús Corona","Sevilla",7,9
"Ángel Correa","Atlético Madrid",8,11
"Thierry Correia","Valencia",24,18
"Hélder Costa","Valencia",16,3
"Jaume Costa","Mallorca",28,23
"Thibaut Courtois","Real Madrid",1,0
"Philippe Coutinho","Barcelona",3,4
"Cristo","Real Sociedad",0,0
"Juan Cruz Armada","Osasuna",22,17
"Marc Cucurella","Getafe",1,0
"Jorge Cuenca","Getafe",32,47
"Matheus Cunha","Atlético Madrid",12,5
"Arnaut Danjuma","Villarreal",6,2
"Sergi Darder","Espanyol",25,24
"Rodrigo De Paul","Atlético Madrid",30,23
"Thomas Delaney","Sevilla",25,14
"Ousmane Dembélé","Barcelona",16,5
"Yusuf Demir","Barcelona",1,2
"Sergiño Dest","Barcelona",15,2
"Boulaye Dia","Villarreal",5,4
"Mouctar Diakhaby","Valencia",25,33
"Javier Díaz","Sevilla",0,0
"Víctor Díaz","Granada",14,17
"Landry Dimata","Espanyol",2,2
"Stole Dimitrievski","Rayo Vallecano",0,1
"Matías Dituro","Celta Vigo",0,0
"Djené","Getafe",26,60
"Naïs Djouahra","Real Sociedad",3,2
"Marko Dmitrović","Sevilla",0,0
"Jaume Doménech","Valencia",0,0
"Carlos Dominguez","Celta Vigo",2,5
"Mario Dominguez","Valencia",0,0
"John Donald","Elche",5,3
"Domingos Duarte","Granada",14,22
"Óscar Duarte","Levante",9,21
"Rubén Duarte","Alavés",48,57
"Unai Dufur","Osasuna",0,4
"Hugo Duro","Getafe",0,0
"Hugo Duro","Valencia",21,4
"Aritz Elustondo","Real Sociedad",14,32
"Adri Embarba","Espanyol",29,20
"Emerson","Barcelona",2,2
"Youssef En-Nesyri","Sevilla",5,3
"Gonzalo Escalante","Alavés",15,18
"Aarón Escandell","Granada",0,0
"Sergio Escudero","Granada",26,26
"Alfonso Espino","Cádiz",69,59
"Estanis","Barcelona",1,0
"Pervis Estupiñán","Villarreal",23,27
"Abde Ezzalzouli","Barcelona",9,9
"Radamel Falcao","Rayo Vallecano",1,2
"Fali","Cádiz",19,24
"Omar Faraj","Levante",0,0
"Ansu Fati","Barcelona",2,0
"Aleix Febas","Mallorca",1,0
"Nabil Fekir","Real Betis",30,7
"Felipe","Atlético Madrid",15,28
"João Félix","Atlético Madrid",2,7
"Aitor Fernández","Levante",1,0
"Álex Fernández","Cádiz",31,29
"Fernando","Sevilla",17,31
"Fidel","Elche",23,7
"José Fontán","Celta Vigo",3,9
"Dimitri Foulquier","Granada",0,1
"Dimitri Foulquier","Valencia",16,30
"Juan Foyth","Villarreal",50,22
"Enric Franquesa","Levante",3,6
"Jorge de Frutos","Levante",15,13
"Javi Galán","Celta Vigo",68,46
"Iñigo Ruiz de Galarreta","Mallorca",22,23
"Thiago Galhardo","Celta Vigo",6,6
"Álvaro García","Rayo Vallecano",24,41
"Dani García","Athletic Club",21,25
"David García","Osasuna",14,54
"Eric García","Barcelona",17,41
"Fran Garcia","Rayo Vallecano",39,47
"Joan García","Espanyol",0,1
"Manu García","Alavés",9,12
"Raúl García","Athletic Club",14,9
"Rubén García","Osasuna",27,24
"Saúl García","Alavés",1,0
"Unai García","Osasuna",12,23
"Mario Gaspar","Villarreal",4,6
"Gavi","Barcelona",19,29
"Bryan Gil","Valencia",8,1
"Óscar Gil","Espanyol",35,20
"Mario Gila","Real Madrid",0,1
"Dani Gómez","Levante",4,3
"Maxi Gómez","Valencia",3,3
"Moi Gómez","Villarreal",9,7
"Papu Gómez","Sevilla",12,7
"Sergi Gómez","Espanyol",23,39
"Victor Gomez","Espanyol",0,0
"Maxime Gonalons","Granada",30,18
"Diego González","Elche",16,17
"Édgar González","Real Betis",18,24
"Giovanni González","Mallorca",4,3
"Nicolás González","Barcelona",21,6
"Peter González","Real Madrid",0,1
"Roberto González","Real Betis",4,1
"Gori","Espanyol",0,0
"Andoni Gorosabel","Real Sociedad",31,19
"Jaume Grau","Osasuna",1,0
"Dominik Greif","Mallorca",0,0
"Clément Grenier","Mallorca",0,0
"Antoine Griezmann","Barcelona",4,3
"Antoine Griezmann","Atlético Madrid",15,7
"Andrés Guardado","Real Betis",16,22
"Sergi Guardiola","Rayo Vallecano",9,4
"Nemanja Gudelj","Sevilla",7,22
"Gonçalo Guedes","Valencia",14,9
"Ander Guevara","Real Sociedad",11,13
"John Guidetti","Alavés",1,0
"Hugo Guillamón","Valencia",26,29
"Gerard Gumbau","Elche",20,21
"Jon Guridi","Real Sociedad",3,3
"Raúl Guti","Elche",15,21
"Marcos Mauro López Gutiérrez","Cádiz",0,1
"Miguel Gutiérrez","Real Madrid",5,4
"Munir El Haddadi","Sevilla",4,5
"Varazdat Haroyan","Cádiz",24,14
"Eden Hazard","Real Madrid",4,2
"Kike Hermoso","Real Betis",1,0
"Mario Hermoso","Atlético Madrid",16,29
"Aridane Hernández","Osasuna",9,20
"Luis Hernández","Cádiz",6,16
"Mario Hernández","Rayo Vallecano",4,4
"Héctor Herrera","Atlético Madrid",7,13
"Sergio Herrera","Osasuna",3,1
"Yangel Herrera","Espanyol",31,17
"Matthew Hoppe","Mallorca",0,0
"Robert Ibáñez","Osasuna",3,0
"Vicente Iborra","Villarreal",10,10
"Oussama Idrissi","Sevilla",0,1
"Oussama Idrissi","Cádiz",6,3
"Iglesias","Getafe",11,9
"Borja Iglesias","Real Betis",4,4
"Asier Illarramendi","Real Sociedad",4,5
"Nikita Iosifov","Villarreal",0,0
"Alexander Isak","Real Sociedad",4,3
"Isco","Real Madrid",3,2
"Nicolas Jackson","Villarreal",1,1
"Jakub Jankto","Getafe",7,5
"Adnan Januzaj","Real Sociedad",12,13
"Jason","Valencia",1,0
"Jason","Alavés",7,8
"Luis Javier Suárez","Granada",14,5
"Álvaro Jiménez","Cádiz",3,4
"Joaquín","Real Betis",3,3
"Jofre","Espanyol",1,0
"Frenkie de Jong","Barcelona",20,20
"Luuk de Jong","Barcelona",7,0
"Joan Jordán","Sevilla",32,29
"Josan","Elche",22,11
"Willian José","Real Betis",13,2
"Joselu","Alavés",11,7
"Josema","Elche",2,0
"Luka Jović","Real Madrid",1,1
"Miguel Juan Llambrich","Espanyol",2,0
"José Juan Macías","Getafe",0,1
"Juanmi","Real Betis",26,10
"Lago Junior","Mallorca",2,2
"Vinicius Júnior","Real Madrid",26,5
"Ferran Jutglà","Barcelona",1,1
"Jens Jønsson","Cádiz",28,34
"Lee Kang-in","Mallorca",7,6
"Kiké","Osasuna",7,3
"Koba Koindredi","Valencia",3,4
"Koke","Atlético Madrid",29,22
"Luca Koleosho","Espanyol",0,0
"Geoffrey Kondogbia","Atlético Madrid",46,46
"Jules Koundé","Sevilla",17,21
"Toni Kroos","Real Madrid",26,12
"Takefusa Kubo","Mallorca",19,9
"Víctor Laguardia","Alavés",16,28
"Diego Lainez","Real Betis",1,0
"Érik Lamela","Sevilla",20,5
"Juanmi Latasa","Real Madrid",0,0
"Toni Lato","Valencia",13,7
"Robin Le Normand","Real Sociedad",31,45
"Jeremías Ledesma","Cádiz",2,1
"Wu Lei","Espanyol",2,4
"Florian Lejeune","Alavés",24,28
"Iñigo Lekue","Athletic Club",24,23
"Thomas Lemar","Atlético Madrid",14,8
"Ruben Lendinez","Valencia",3,2
"Clément Lenglet","Barcelona",12,15
"Javier Llabrés","Mallorca",2,0
"Marcos Llorente","Atlético Madrid",24,28
"Giovani Lo Celso","Villarreal",12,3
"Julen Lobete","Real Sociedad",3,1
"Renan Lodi","Atlético Madrid",19,13
"David López","Espanyol",15,9
"Diego López","Espanyol",0,1
"Javi López","Alavés",4,4
"Unai López","Rayo Vallecano",10,9
"Mamadou Loum","Alavés",20,36
"Anthony Lozano","Cádiz",4,2
"Florentino Luís","Getafe",25,25
"José Luis Gayà","Valencia",21,16
"José Luis Morales","Levante",17,6
"Luismi","Sevilla",0,0
"Andriy Lunin","Real Madrid",0,0
"Darwin Machís","Granada",13,15
"Pablo Maffeo","Mallorca",49,47
"Nemanja Maksimović","Getafe",34,69
"Hugo Mallo","Celta Vigo",25,24
"Mickael Malsa","Levante",18,19
"Giorgi Mamardashvili","Valencia",0,0
"Reinildo Mandava","Atlético Madrid",25,24
"Aïssa Mandi","Villarreal",5,15
"Nikola Maraš","Rayo Vallecano",9,13
"Marcelo","Real Madrid",4,1
"Iván Marcone","Elche",13,11
"Óscar de Marcos","Athletic Club",36,19
"José Mari","Cádiz",7,7
"José María Giménez","Atlético Madrid",12,24
"Mariano","Real Madrid",0,1
"Mika Mármol","Barcelona",0,0
"Roger Martí","Levante",15,2
"Anthony Martial","Sevilla",1,0
"Martín","Cádiz",2,1
"Ander Martin","Real Sociedad",0,3
"Andrés Martín","Rayo Vallecano",0,0
"Carlos Martín","Atlético Madrid",0,0
"Iván Martín","Alavés",1,1
"Iñigo Martínez","Athletic Club",16,40
"Javi Martínez","Osasuna",15,10
"Pablo Martínez","Levante",9,16
"Omar Mascarell","Elche",26,51
"Jaime Mata","Getafe",5,0
"Luís Maximiano","Granada",1,1
"Borja Mayoral","Getafe",5,4
"Jordi Mboula","Mallorca",3,3
"Óscar Melendo","Espanyol",4,1
"Gonzalo Melero","Levante",16,7
"Memphis","Barcelona",5,2
"Tomás Mendes","Alavés",0,0
"Brais Méndez","Celta Vigo",35,37
"Édgar Méndez","Alavés",16,6
"Ferland Mendy","Real Madrid",15,16
"Fran Mérida","Espanyol",3,6
"Mikel Merino","Real Sociedad",37,23
"Martín Merquelanz","Rayo Vallecano",1,0
"Matt Miazga","Alavés",7,11
"Miguel","Alavés",3,1
"Éder Militão","Real Madrid",32,53
"Luis Milla","Granada",29,27
"Pere Milla","Elche",15,5
"Santi Mina","Celta Vigo",17,6
"Óscar Mingueza","Barcelona",11,8
"Rafa Mir","Sevilla",3,0
"Jorge Miramón","Levante",21,31
"Juan Miranda","Real Betis",12,14
"Stefan Mitrović","Getafe",8,27
"Luka Modrić","Real Madrid",9,20
"Johan Mojica","Elche",28,25
"Jorge Molina","Granada",3,6
"Jon Moncayola","Osasuna",21,22
