league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
FRA-Ligue 1,2324,Le Havre,Oussama Targhaline,5,2023,282,9317,M S,14,1053,0,0.14114288240671158,0,0.14114288240671158,0,0.28763836808502674,6,8,3,1,2.447756426408887,2.1989851035177708
FRA-Ligue 1,2324,Le Havre,Rassoul Ndiaye,5,2023,282,11790,M S,19,508,0,0.11799005419015884,0,0.11799005419015884,0,0.11345826648175716,5,2,2,2,0.7552623394876719,0.5636159107089043
FRA-Ligue 1,2324,Le Havre,Samuel Grandsir,5,2023,282,3713,M S,23,556,1,2.6092693097889423,1,1.849174190312624,0,1.2302608918398619,15,13,2,2,3.418819971382618,0.9702813941985369
FRA-Ligue 1,2324,Le Havre,Simon Ebonog,5,2023,282,12446,S,4,14,0,0.0,0,0.0,0,0.0,0,0,0,0,0.6314274668693542,0.6314274668693542
FRA-Ligue 1,2324,Le Havre,Steve Ngoura,5,2023,282,12335,F S,12,193,0,0.6314274948090315,0,0.6314274948090315,1,0.0766507238149643,7,1,0,0,1.7898901496082544,1.0818119328469038
FRA-Ligue 1,2324,Le Havre,Yassine Kechta,5,2023,282,11795,M S,32,1868,2,1.6456643836572766,2,1.6456643836572766,1,1.6516199680045247,20,26,4,0,5.330799985677004,2.4047774197533727
FRA-Ligue 1,2324,Le Havre,Yoann Salmier,5,2023,282,5976,D S,20,1570,1,1.4450461836531758,1,1.4450461836531758,1,1.3807902336120605,10,6,3,0,4.788182912394404,4.2435387801378965
FRA-Ligue 1,2324,Le Havre,Étienne Youté,5,2023,282,11796,D,22,1947,0,0.25208092853426933,0,0.25208092853426933,0,0.12427375093102455,6,3,1,0,3.4935755897313356,3.387337388470769
FRA-Ligue 1,2324,Lens,Abduqodir Khusanov,5,2023,210,11763,D S,11,819,0,0.19425269588828087,0,0.19425269588828087,0,0.07268452644348145,5,1,4,0,1.763464143499732,1.635731739923358
FRA-Ligue 1,2324,Lens,Adrien Thomasson,5,2023,210,3549,M S,29,1186,1,4.732723202556372,1,4.732723202556372,2,4.164455230347812,30,30,2,1,10.886845581233501,4.301206756383181
FRA-Ligue 1,2324,Lens,Andy Diouf,5,2023,210,9523,M S,25,1351,1,1.498029014095664,1,1.498029014095664,0,1.1004069512709975,28,21,2,0,8.886315995827317,7.490754822269082
FRA-Ligue 1,2324,Lens,Angelo Fulgini,5,2023,210,6019,M S,29,1398,1,3.6937349252402782,1,3.6937349252402782,2,3.696188071742654,46,38,1,0,8.241204300895333,3.448700682260096
FRA-Ligue 1,2324,Lens,Ayanda Sishuba,5,2023,210,11764,S,7,44,0,1.0613732365891337,0,1.0613732365891337,0,0.025091631338000298,12,1,0,0,1.2434313325211406,0.24414417147636414
FRA-Ligue 1,2324,Lens,Brice Samba,5,2023,210,4748,GK,33,2970,0,0.0,0,0.0,0,0.18041114881634712,0,2,3,0,7.400067053735256,7.342077724635601
